,Text
7359,Domingo Hernández
7390,Gonzalo de Robles
7435,Tezintecutli
7609,Pedro Ruiz Suarez
7684,Yaxixayo
7844,Domingo Lamas
7846,Diego Pérez
7847,Juan Gómez
7865,Miguel de San Francisco
7869,Carlos de Méndez
7870,Felipe Hernández
7872,Pedro de Santiago
7873,Diego Fernández
7876,Balthasar de Peralta
7879,Lorenzo Franco
7929,Cuatlatlali
7963,Moteczuma
8120,Peralta
8122,Miguel de SanFfrancisco
8123,Antonio de la Cruz
8151,Gonzalo Galeote
8199,Antonio de Grijalva
8225,Gonzalo de las Casas
8241,Iztetecoana
8396,Esteban de Alavés
8402,Luis de la Cruz
8405,Andrés Pablo
8406,Domingo Martín
8408,Tomás López
8410,Francisco de Espinosa
8425,FELIPE LóPEZ
8430,Felipe Lope
8433,Magestad Real
8459,Bartolomé de Zárate
8464,señor Gordían Cassasano
8472,Rodrigo de Xerez
8473,Juan de valverde
8475,Juan de Sosa
8476,Joseph Caballero
8564,calpizques
8629,tequitato
8847,canteros
8930,caballerías
9034,Rodrigo Ordónez de Jerez
9036,señor Corregidor
9037,Juan de Valverde
9056,Francisco de Castañeda
9061,Gordián Cassasano
9067,Agustín de Castañeda
9068,Francisco de Miranda
9069,Marcos Ruiz
9072,Andrés de Mendoza
9074,Thomás de Aquino
9075,Andrés de Gante
9077,Diego Sánchez
9078,Miguel Jerónimo
9081,Gabriel
9082,fiscal
9083,Pero Hernández
9084,Andrés Sánchez
9085,Antonio Acxotecatl
9086,Pedro Tlacocalqui
9087,Juan Tlapixqui
9088,Andrés Aquiyahuacatl
9089,Miguel Osorio
9090,Alonso García
9091,Miguel Álvarez
9092,tequitatos
9112,Melchor Castañón
9127,Gabriel Sánchez
9185,brujos
9331,Teiztapali
9332,Coatl
9415,mandones
9552,Teuctlamacaz
9553,Ecatlamacaz
9554,Tetzatlamacaz
9561,santos
9686,médico
9928,Tomás Vanegas
9932,Agustín Velázquez
9934,Juan Ramírez
9935,Diego Flores
10150,Baltasar de Zúñiga
10154,Jacobo de San Christóbal
10158,Miguel Sánchez
10159,Juan Jiménez
10161,Diego Ortiz
10162,Juan Pablo
10274,Juan Bautista
10276,Juan Daza
10278,Francisco Sánchez
10292,Melchior Castañón
10369,Andrés de San Gabriel
10371,Francisco Jimémez
10372,Diego Sebastián
10374,Esteban Medel
10375,Andrés García
10377,Miguel Juárez
10379,Miguel Lucas
10381,Alonso de Castillo
10449,Antonio de Mendoza
10451,Andrés de Buenaventura
10452,Antonio Hernández
10457,Antonio Martínez
10459,Baltasar
10472,Alvarado
10475,Pedro de Alvarado
10484,MAJESTAD
10491,Juan de Torres de Lagunas
10499,Pedro Arias de Luján
10508,DiegO Ruiz de Andrada
10509,Andrés López
10510,Diego de Alcalá
10702,Marqués de Valle
10718,Diego de Alavés
10749,cazadores
10750,pescadores
10751,tratantes
10794,astrólogos
10989,Majestadd
11023,Juan Cortés
11253,papa
11560,Felipe Cortés
11692,Martín Cortés
11853,Juan de Torres
11856,Diego Ruiz de Andrada
11857,Pedro Arias Luján
11889,Cosme de Cangas
11994,Hernando de León
11999,Justicia Mayor
12015,poblazón
12042,Tristán de Arellano
12044,Mateo
12062,Francisco de Alfaro
12084,hidalgo
12087,conde
12172,Potro médico
12188,Monardes
12211,labradores
12314,Andrés Quintero
12316,Miguel Manrique
12331,Francisco de Villagar
12351,alcalde mayor
12370,Pablo de Acevedo
12372,Gaspar de Ulloa
12412,Gaspar Sánchez de Ulloa
12555,mayordomos
12610,Coqui Bezelao
12611,diablos
12656,Quezelao
12667,Coqui Nexo
12698,corregidores
12729,diputadas
12742,demonios
12777,ayo
12789,tequitlato
13098,barberos
13358,gobernadores
13361,Luis de Mendoza
13363,Pablo de Velasco
13397,Antonio de Sedano
13404,Juan Luis Maldonado
13415,Alonso de Austria
13657,Pedro de Castro
13686,Andrés Orejón
13788,viejos casamenteros
