,Text
44252,gallinas
44887,QUILITES
44994,guajes
45391,chirimías
45393,mitotes
47605,chucherías
47701,perales
47702,manzanos
47716,abaricoques
47735,cerrajas
47736,borrajas
47748,zanahorias
47758,achicorias
47762,puerros
47940,cebadas
48737,pescadillo
49520,cimatl
50383,pulques
51458,guamúchiles
51941,alverjones
52448,CHIQUIHUITE
52449,PINOLE
52452,CHIQUIHUITES
52453,rana asada
52475,HUAUTLI
52514,TZOHUALLI
52536,miel de maguey
52620,aves de caza
52625,maguey cocido
52628,pan de maíz
52669,magueyes
52670,tunales
52731,nueces de España
52999,elotes
53093,maíz cocido
53094,aves domésticas
53101,pencas de maguey
53103,ratones
53332,hojas de tunas
53338,pan cocido
53417,conejos
53478,magueyes cocidas
54300,CAPULI
54306,CAPULLI
54307,manzana
54315,diacitrón
54324,Frutas
54341,alcauciles
54344,chirivías
54345,escarolas
54807,melocotón
54808,higo
54824,col
54827,borraja
55198,AHUAUHTLE
55410,sementeras
55658,carneros
55659,vacas
55661,liebres
55768,miel negra
55813,Cebada
56479,tomatl
56555,frutal
56955,cebollinos
56959,huacamotes
56961,jícamas
57127,naranja
57315,matillas
58225,achiotl
58458,chiantzotzotzolli
58623,quelites
58629,coles.
58691,cacalopinole
58698,cacahuatales
58919,ciruelos de la tierra
59208,comidillas
59245,algodón
59688,ylozapotes
60677,maguey
60848,cerezos
61123,pescadillos
61125,especia
62321,verdugos
62428,OCPATLI
63689,pencas
64177,ayecotli
64179,hauhtli
64182,ayohuachtli
64939,camote
64946,huauhquilitl
65731,tezonzapotes
65743,agro
65750,cimarrón
65752,acecentli
65756,chiantzotzolli
66738,CALLI
66782,zumo del ocote
66783,OCOTLILI
67031,acedaras
67430,patli
67436,chiancaca
67456,tujuada
67458,mexcalli
67460,tezonmetle
67805,banquetes
68164,vainillas
68810,manjar
68812,pepitillas
68833,CHAPATA
69205,zargatona
69215,hojas del maguey
69217,mexcal
69219,yerbas campesinas
69270,mexcale
69440,naturales
70229,nuchtle
70231,caha
70918,ciruelas de la tierra
70921,papayas
71082,chianpinole
71471,melonares
71529,capolîes
71861,membrilos
72918,michhuauhtli
73624,manjares
73882,gallina
74244,michihuauhtli
74476,tecuitlatl
74477,lamas
74478,tortas
74480,queso de la tierra
74482,ezcahuitl
74483,gusanillos
74485,ahuauhtli
74487,hue­vecillos
74489,michpillin
74490,cocolin
74576,de por San Juan
74590,dormilones
74615,priscos
74617,Damasco
74619,cermeñas
74629,moscateles
74633,cidra
74670,chayotli
74676,berros
74682,xitomatl
74683,miltomatl
74685,salsas
74835,aoctli
74839,barbacoa
74885,ezcauitli
75102,quequexquitl
75112,ahates
75114,guamóchiles
75115,zoales
75116,ohosites
75325,venado
75369,cocales
75373,quauhzapotes
78134,ZOAL
78513,PICIETE
78517,ZOALE
79699,QUAUHTLATLATZIN
80207,QUILETES
80210,TLACHIQUIL
80277,capulines
80661,CAPULIES
80997,XENGUA
81257,añas de azúcar
81345,cazaban
82230,cuescos
82232,CAPOLÍES
82234,XENGUAS
82237,AGUACATL
82239,CUPANDA
82244,CHAYOTES
82245,APUPU
82247,cuesco
82266,AYOTES
82590,plátano
82617,tenpisques
82754,XICALLI
83040,PINZANI
83094,TAULE
83096,AHTZlRI
83213,huerta
83452,conservas
83682,ají verde
83782,POZOL
83946,NEXTAMAL
84007,berrazas
84056,FRUTAS
84073,cimarronas
84147,barbacoas
84401,BASTIMENTOS
84407,panecillos
84501,TRIGO
84855,panino
85548,CACAO
86594,avellana
86618,anis
87318,ajís
87379,CHONETLI
87529,manijas
87554,TAMALES
87556,PINOLES
87575,pipián
87602,CUAUHCAMOTES
88322,CACALOTES
88363,sandias
89157,licor
89592,pan blanco
89729,alcachofas
89841,chilares
89981,calabacillas
90018,CHIAN
90028,AHUAUHTLl
90043,AYOTL
90048,TOMATE
