,Text
47480,raíces medicinales
47493,modorra
47495,almorranas
47507,sanaban
47668,bilmas
47670,miembro desconcertado
47791,emplastos
48167,catarro de romadizo
49642,mezquitl
50296,popozoltzin
50337,oxitl
50714,COCOLIZTLES
51361,tabardillo
51957,escalientan
52652,yerbas frías
53120,raíces de calidad fría
53504,ortigas
53505,lirio
54203,Curábanse
54207,vómito
54216,tabardetes
54250,tullen
54682,ciciones
54841,raíces silvestres
54843,golpes
55127,flebotomía
55769,miel
55818,plantas aromáticas
56488,brebaje
56861,cal en agua
57328,descalabraduras
57335,ololiuhqui
57343,coanenepile
57344,acalenturado
57725,enfermaban de catarro
57730,corteza
58217,cámaras d sangre
58222,ocozacatl
58281,epaxutl
58283,atonahuizpatli
58286,malos de fríos
58289,tlepatli
58879,cuanenepili
59234,tecopale
59314,tecuanpatle
59638,ulli
59730,tetemometztic
60804,buenos aires
60868,curen
61131,pujamiento
62249,bañábala
62659,yerbas ponzoñosas
63646,cocoliztles
63671,hambre
64120,ijada
64810,tlacacocolizte
64817,matlaltotonqui
64822,flujo de sangre por las narices
64825,flujo de sangre
64826,raspaduras de cobre
64827,maíz
64828,tizatl
64831,raíces de matlalsúchil
64835,hojas del saúco
64963,tamalcocoz
64968,quauhchichihualli
64971,ezpatli
64972,escupe sangre
64974,matlalsúchil
64978,tlatlacotl
64982,sudan
64983,vomitar
64985,tlalancacuitlapile
64990,tlatlauhcapatli
65480,perlesía
65641,totomonaliztli
65650,matlalin
65657,sudar
65802,iztiquipatle
65805,yacacozauhqui
65806,nabo
65807,poxahuaque
65811,empachado
65812,árbol
65813,tecomasúchil
65817,bilma
65818,suchiococotl
65820,pipitzahuac
65821,choquizpatle
65828,cuapatle
65829,parto
65832,cocochiaton
65837,tlatlancuaye
65908,sudores
66053,zahuatl
66249,duele la cabeza
66255,pujamientos de sangre
66362,mamatlaltico
66365,elotique
66368,tlalpozole
66370,tlalcocole
66373,quauhchichihuale
66377,xoxocoyoltique
66386,picaduras
66895,TEMAZCALES
66962,jabonaduras
66964,mal de piedra
67058,IZTAFIATE
67070,OYAMETL
67082,COATLNENEPILI
67090,AYOAYPACHI
67093,TOTONCASOCHlTL
67327,cocolizte
67866,calentu­ras
67870,púnzanse
67871,sajan
67932,tlatlacotic
67933,quebrantamiento de cuerpo
67934,pitzahuac
67936,yamanqui
67938,illacatziuhqui
67940,poxahuac
67942,izel
67944,matlali
67945,la del monte
67946,Plantas aromáticas
67947,cacalosuchil
67948,elosuchil
67949,izquisuchil
68746,QUERAPOSERARHUA
68752,APAREQUA
68757,Púrganse
69224,embriaguez
69263,saludable
69335,yerba venenosa
69337,iztacpatli
69621,embriagueces
69625,estafiatl
70183,embriagarse
70674,sajábanse
70707,mal­sana
70713,sangre de narices
70718,ruda
70721,lavatorios de cabeza
71062,punzarse
71063,purgábanse
71065,bañábanse
71098,cañafístola
71555,piciete
71877,temazcal
72123,agujas
73390,bañarse
73762,nacidos
73765,pudrición
73991,consumición
74261,sanísimos
74306,afligidos
74345,sangre corrompida
74351,cocoliztli ezalahuac
74354,humor
74355,sangre podrida
74359,abrigarse
74533,aceite
74598,restreñir
74751,semillas
74760,medicamentos
74764,beleño
74765,amortiguar
74774,enjugan
74786,cihuapatli
74788,xiuhquilitl
74790,empacho
74791,ahíto
74792,molimiento
74795,hinchadas
74805,Plantas
74807,cozamalometl
74813,cuauhpatli
77734,enfermedades de tose
77814,de Mechoacan
77815,ELCAMIZOTLE
78480,sahuman
78850,cai malo
78855,recio
79680,frialdad
79682,NENEPILCUAL
79686,IZTACPATLE
79693,TZONPANTLE
80226,de Mechuacan
80686,GUAXATEN
80687,YARAPEN
80688,QUIRIQUA
80689,TEPARE
80985,pasmo
80986,frío
82153,curados
82794,heridos
83451,curasen
84457,ENFERMEDADES
84458,CURAN
84527,duele
84531,hinchan
84538,hinchó
84543,TUESTEN
84546,enconada
84547,cancerada
84548,desencona
84550,Ilaga
84554,YURACSEN
84562,CHUPIRE
84570,hieren
84576,purgados
85907,sángranse
86228,COCOLIZTES
86247,úlceras
86484,expelen los malos humores
86489,medicamento
86491,enfermando
88324,árboles medicinales
88325,COPAL
88326,XUCHICOPAL
88327,TECOMAHACA
88368,frutos
89029,muertes
89709,estéril
90085,digerir
90086,mundificar
90087,encarnar
90088,cicatrizar
90090,curado
90094,accidente
90095,curé
90098,jeringarle
90100,jeringué
91129,PICIETE
91130,OLOLIUHQUI
91131,CUANENEPIL
91132,PHEHUAME
91133,PALANQUIN
91136,chupan el humo
91144,COANENEPIL
91149,PALANQUI
91153,hidrópicos
92954,TEREZEQUA
92956,pujamiento de sangre podrida
93325,fruto
93362,ANDUMUCUA
93368,dolor de la ijada
93373,dolor de las muelas
93376,CHUPIRINI
93384,postillas
93393,enfermedad es de sangre
93397,ANBANDURlA
93398,bizma
93400,suelda
93745,pestilenciales
94367,sangrándose
94368,ventosas
94369,jeringas
94637,APAHTZI
94647,bébenlo
94648,únanse
94658,muelen
94659,se la ponen
94662,untando
94663,picadura
94704,sahumerios
94706,sahumarlos de incienso
95254,enfermería
96573,flemáticos
96885,vellorita
96888,TEPARI
96889,CURAMBE
96890,GUAJATEN
96891,asensios
96892,QUEBACA
96893,CABENDA
96894,PICARTE
96895,EPAZOTL
96896,CURSIQUINDAS
99574,sangre de gallina
99575,bebedizo
102413,acayetl
102663,flema
102672,purgas de raíces
102676,escudilla de poleadas
103129,purgado
103134,cozauhqui
103135,raíz amarilla
103138,cuicuilihue
103139,raíz pintada
103141,ocelopatli
103148,tepetlatlatzin
103149,peña rajada
103165,tlilxochitl
103172,yerbezuela
103174,MECAXOCHITL
103178,yoloxochitl
103196,itzcuinpatli
104019,cececpatli
104751,yerba de la playa
104753,de la playa
106832,pinole
106879,heridas de cabeza
106932,veneno ponzoñoso
107504,mal
108567,coanenepilli
108573,tlaizotlalti
108783,cocoliste
108998,tzompilihuizpatli
109002,raíces del saúco
109018,resfriados
109028,estanca
109833,sangrarles
109834,sajarse
109836,sangran de las sienes
110131,cosas medicinales
110147,izcuinpatli
110157,yerba de la Puebla
110171,yerba medicinal
110185,zabila
110617,malsana
110618,enfermedades pútridas
110899,podridos
110915,malsanos
111208,purgantes
111209,piñones
111210,purgativos
111213,simiente
111214,cardillo
111215,bejuquillo
111228,pestilencial
111845,salmuera
111846,hollín
112186,adormecer
112446,chichiantic
112738,icelquahuitl
112739,quauhxocoyolin
112741,tlaquahuitl
112742,mizquitl
113019,coanenepili
113021,zezecpatli
113023,mezquite
113355,chichicquahuitl
113360,dolor de riñones
113362,coatl
113633,enfermarse
115288,purgativo
116779,lamparones
116780,ahogamiento de pecho
116892,escorzonera
116907,mal de ojo
117190,vino
117193,bija
117194,almagre
117217,resfríanse
117218,mal de pecho
117219,barriga
117222,lavan
117234,guardarse del viento
117235,no lavarse
118772,piciet
120581,mal de los lamparones
120582,hierbas
121331,calamidades
122095,dolores de pechos
123679,dolores de cabezas
123723,sarampiones
123727,romadi­zos
123728,flujos de sangre
124488,asmáticos
124489,toses
126070,enfermamos
130688,hortigarse
130871,zumia
130872,k'umya'
130879,maculam
130880,mak'ulan
130885,inciensos
130886,llantén
131476,purgaba
132816,sangrían
133682,chile
134271,bañar
134496,baache
134497,balche'
134499,falta de salud
134869,enfernos
136475,vomitaban
136581,mal de las bubas
136582,mal francés
137151,lavándose
137152,caldo
137778,moría
137838,disminución
138778,bañarse con agua fría
139796,xuchipatli
139801,xuchinacaztli
139803,muk
139960,quebraduras
