,Text
30380,plumería verde
30422,navaja negra
30429,piedra navaja
30432,navajuelas
30433,pedernales
30436,palillos
30504,teponaztles
30507,teponaztle
30532,masteles
30534,toallas
30540,camisetas
30715,tablones
30716,viguetas
30984,pedrería
31068,espejos
31070,espejo
31136,cáñamo
31246,ÍDOLO
31247,figura
31425,mimbres
31426,cuerdas
31638,ruedas
31697,jaulas
31800,mercancía
31961,PINTURA
32171,plumajes
32330,lienzos
33136,arma
33201,cebo
34623,vestuario
34626,fieltro
34627,herreruelos
34630,medias
34887,caíhielas
34888,pelota
34889,hule
34890,ULAMA
35546,munición
35586,PIEDRA
35651,cintas
35657,trajes
35658,sacos
35665,CANAGUAS
35702,adargas
35766,jaquecas
35786,COMlTL
35791,OLLA
35820,canaguas
35984,pieles
35987,sábana
36087,plumeríos
36319,almillas
36503,hamaca
36577,jarcias
36599,tijeras
36602,caballete
36656,estrolabio
36775,ÍDOLO DE PIEDRA
36780,petaquilla
36782,cajuela
36836,piedra
36854,maza
36955,vara
36958,pedernal
36962,carcaj
36969,CHALCHIUITL
36977,MAQUAHUITL
36980,mazas
36984,porra
36987,CACTLES
36998,CUEITL
37004,frezadas
37040,sayal
37062,cobijas
37065,ruin
37069,jervillas
37269,estera
37483,imágenes
37581,cama
37582,barbacoa
37585,escudillas
37586,piedras de moler
38092,PUPUCA
38107,Camisas
38230,palas
38231,horno
38263,cordeles
38273,ayunque
38348,lebrillos
38756,vaso
38797,PETATES
38843,bordón
38848,concha
38850,flauta
38906,candelas
38915,machete
39025,HUEPIL
39026,vestimenta
39297,sillas
39298,estradiotas
39299,jinetas
39421,mecates
39456,llanas
39691,monjil
40048,cruz
40164,idolo
40190,tinta
40239,collares
40303,faldas
40304,bonetes
40316,cantos
40625,mantas de algodón
40732,Piedra
40892,ISCAUPIL
40921,idolos
40996,mecate
41498,fuelles
41499,herramientas
41654,cigoñales
41666,ejes
42050,ornamentos
42131,anorías
42149,crucifijo
42150,imagen
42155,lámparas
42361,tabernáculo
42368,dosel
42369,damasco
42392,retablo
42397,pincel
42616,hornos
42709,estandarte
43623,santos sacramentos
43941,manta de henequén
44017,ropa de algodón
44207,mantas de henequén
44309,ofrendas
44324,leña
44474,lanza
44475,adarga
44608,insignia
44805,COPAL
44842,CHALCHIHUITES
44859,MAXTLES
44863,estopa
45078,adobe
45182,santo
45213,santa cruz
45216,santos
