,Text
80959,pajarillos
80960,HUITZITZILES
81226,TECOLOTE
81227,búho
81675,ZINZONES
81868,pescado blanco
82133,EPATL
82135,CUITZIQUI
82662,crías
82666,res
82797,barbos
82800,TLACAMICHIN
82803,CURUCHA
82986,plaga
82991,USPI
82993,AQUETZPALI
82995,PUQUl
82997,TEQUANI
83000,AXUNI
83002,MAZATL
83005,ACUITZE
83010,HIUATSI
83015,OCELOTE
83017,TSITSIS PUQUI
83223,hormigueros
83225,ladronas
83392,sierpes
83396,picazas
83406,CENTZONTLATOLl
83410,cebones
83718,gavilán
84109,vena­dos
84432,puercos cebones
84603,cuervos marinos
84613,gallinas negras
84615,bestia
84652,pez
86205,CHAPULI
86642,mosca
86648,becerros
86652,Gallinas
86949,zancudos
87227,OZTO
87241,hormiguero
87364,almejas
87465,OZTOL
87934,caimán
88012,mosquito
88256,dragón
88267,DRAGÓN
88391,jaureles
88393,CENTZONCOICAL
88407,quebrantahuesos
88860,ganados mayores y menores
89854,ovejunos
90127,COYOTL
90179,borregos
90694,comadreja
90750,aura
90751,milano
90757,pajarito
90760,PICHICHI
90762,TZINTZONI
90764,HUITZITZIL
91465,bobo
92284,pescados bobos
92628,bobos
92629,peces
92724,corvinetas
93076,mona
93214,caza
93259,CHARRAO
93276,CURUENGA
93412,rebaños
93426,cercetas
93428,alcatraces
93686,sábalo
94067,gallipavos monteses
94078,CHEGUA
94080,pejerrey
94168,CUNIME
94172,ZIZITO
94669,perros perdigueros
94673,BAPOS
94684,cochino chico
94752,harpías
94760,terreruelas
94761,CHARACHE
94764,comendadores
94766,calandria
94767,rabiblanca
98463,lisas
98464,anguilas
99931,garza blanca
100089,lechuzos
101162,águila blanca
101227,buharro
101381,quechol
102440,pavón
102589,salvajinas
102745,sabandija
102767,pescaditos
102793,ganados ovejunos
103265,cenzontlatoles
103273,pitos
103361,cabrunos
103367,recuas
104079,conchas
104153,monas
104159,palomas monteses
104774,gallinas silvestres
106869,drago
106946,puercoespines
108076,péscanlo
108336,águila colorada
108524,trucha
108525,mojarra
108579,gatillos silvestres
109039,cientopiés
109040,camaleones
109042,lagartillos
109979,cochinillas
109981,nochiztli
110029,erizo
110039,garrapata
110083,zozon
110084,orugas
110088,escarabajuelo
110091,vaquitas de San Antón
110093,zoltzin
110094,mosquilla
110152,izcuintli
110226,hepatl
110248,centzontlatolli
110257,colotl
110259,acalhuan
111018,robalos
111023,pámpanos
111024,corcovados
111217,campesinos
111221,podenco
111222,coyote
111223,ganados menores
111238,armado
111239,hurón
111240,ratoncillos
111242,gazapos
111257,estorninos
111266,gerifaltes
112218,palomas silvestres
113331,huitzil
113340,cochin
113504,pescos
115408,cabras monteses
116172,pato blanco
116917,ah cab kob
116918,ahkab koh
116920,chamac
116921,ch'omak
117286,pejes
117318,comején
117409,queh
117410,keh
117425,tul
117426,tu'ul
117430,mucuy
118712,cucarachas
118713,avispas
118715,garrapatas
118923,ciento pies
118926,cerváticas
118935,mapaches
118940,monos barbados
118944,torcazas
120551,yuc
120552,yuk
122734,cucaracha
123245,pavones
124501,tepeiz quintes
124502,tepeizcuintes
124503,gamitos
124516,Codornices
126096,ahlu
126097,ahlu'ub
126105,chec
126106,chek
126329,pato
126550,cch
126552,puereo
126553,uitam
126554,kitam
126563,huh
127592,puercos naturales
127594,quitan
127603,ga1línas
127606,ulun
127607,ulum
128031,becerro
128993,zes
128994,sots'
129001,cay
129002,kay
129537,diahacas
129538,ts'ahakay
130729,corvina
130730,tollos
